Isad311Référence;Isad312Intitulé;Isad313Dates;Isad313DatesNormees;Isad315ImportanceMatérielle;Isad321NomProducteur;CategorieFonds;TypeInstrumentRecherche;url
CH BGE Ms. fr. 3401-3429, 3431-3460;Papiers Amé Jules Pictet;1850-1937;1850/1937;2.5 m;Pictet, Amé Jules (1857-1937);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadc55fa1bcaa07e1f
CH BGE Non catalogué (1989/029, 1991/023, 2003/021);Papiers Pierre Pidoux;20e s.;1940/1999;7.4 m.;Pidoux, Pierre (1905-2001);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta10be2a949b2917b2
CH BGE Ms. fr. 3975-4000;Papiers René Claparède;1883-1939;1883/1939;1.7 m.;Claparède, René (1863-1928);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad2dfda00e1fc3278
CH BGE Non catalogué (2002/033);Papiers Marie-Thérèse Coullery;1948-1987 et s.d.;1948/1987;0.4 m.;Coullery, Marie-Thérèse (1929-2000);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta76f7d931ae0bbd4f
CH BGE Ms. fr. 6763-6772;Papiers Auguste Micaël Lemaitre;1872-1921;1872/1921;0.5 m.;Lemaitre, Auguste Micaël (1857-1922);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta978f0a55e91ab11e
CH BGE Ms. fr. 6601-6695;Fonds Auguste Lemaitre;1866-1970;1866/1970;4.3 m.;Lemaitre, Auguste (1887-1970);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6c969174af664dce
CH BGE Ms. mus. 1253-1286;Papiers Gustave Ferrari;1879-1948;1879/1948;1.6 m.;Ferrari, Gustave (1872-1948);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2cf28fb7b858b993
CH BGE Ms. fr. 7814-7828;Manuscrits Jean-Pierre Henry;19e s.;1814/1877;0.5 m.;Henry, Jean-Pierre (1814-1877);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta32bfa43386cf2c18
CH BGE Ms. fr. 1047, 6501-6506;Papiers Théophile Heyer;1789-1916;1789/1916;0.5 m.;Heyer, Théophile (1804-1871);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta15f5f9952aeb44c9
CH BGE Non catalogué (2003/055);Papiers Jean Rudhardt;20e - 21e s.;1900/2099;22 m.;Rudhardt, Jean (1922-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3f883c8d11d77c0b
CH BGE Ms. fr. 2071-2117, 4501-4616;Papiers Henry Dunant;1828-1939;1828/1939;2.5 m.;Dunant, Henry (1828-1910);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa8a595805df0f594
CH BGE Ms. suppl. 851, 1136-1140;Papiers Jacques-André Lullin de Châteauvieux;1549-1796;1549/1796;0.2 m;Lullin de Châteauvieux, Jacques-André (1728-1816);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa5ba0502757afb1b
CH BGE non catalogué (2008/016);Archives de la famille Geisendorf-Des Gouttes;19e - 20e s.;1800/1999;6 m.;Geisendorf-Des Gouttes, famille (19e - 20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa3d603771104f86c
CH BGE Ms. fr. 7932-7938;Papiers Serge Serguéyeff;1863-1871;1863/1871;0.4 m;Serguéyeff, Serge (1821-1891);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta592707f3427cf8ec
CH BGE Ms. fr. 5215-5284;Papiers Henri de Ziegler;1903-1971;1903/1971;6.1 m;Ziegler, Henri de (1885-1970);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab7f70b3af165d192
CH BGE Ms. fr. 1483-1505;Archives de la famille Stroehlin;1780-1981;1780/1981;4,1 m;Stroehlin, famille;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtabc9cf641459e7a4c
CH BGE Ms. fr. 6836-6865, 7650-7729;Archives de la famille Picot;1582-1997;1582/1997;9 m;Picot, famille (18e - 20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta15560701ccbe2d4d
CH BGE Non catalogué (1934/065);Archives de la famille Rigaud;16e - 19e s.;1500/1899;1 m.;Rigaud, famille (16e-19e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf458e4f35d804d80
CH BGE Ms. fr. 7881-7894, 8027-8034;Collection Frédéric Gardy;1400-1978;1400/1978;1.7 m;Gardy, Frédéric (1870-1957) et Etat de Genève [?];Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8333172f78181496
"CH BGE Ms. fr. 4788-4800, 5753-5794; non catalogué ([1972 ?], 2000/012, 2014/003)";Archives de l'Association abolitionniste genevoise et de la Fédération abolitionniste internationale;1772-1997;1772/1997;6.8 m;Association abolitionniste genevoise (fondée en 1877) et Fédération abolitionniste internationale (fondée en 1875);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3de6268904c1154f
CH BGE Ms. fr. 2511-2550b;Papiers Edouard Naville;1865-1926;1865/1926;3.5 m.;Naville, Edouard (1844-1926);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaccedf4c4d1908492
CH BGE Ms. fr. 6701-6733;Archives de l'Union mondiale de la femme pour la concorde internationale;1912-1959;1912/1959;3 m;Union mondiale de la femme pour la concorde internationale (UMF);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta12110a6ede435408
CH BGE Non catalogué (2003/051);Papiers Louisa Sechehaye-Düss;20e - 21e s.;1900/2099;1,5 m.;Sechehaye-Düss, Louisa (1912-2002);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab3c07b2273ab7863
CH BGE Ms. fr. 4001-4023, 8436-8441;Papiers Edouard Claparède;19e - 20e s.;1800/1999;1.6 m.;Claparède, Edouard (1873-1940);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta59f5831b5e6d27d9
CH BGE Ms. fr. 4731-4786;Archives de la famille Prevost;17e - 20e s.;1619/1929;2.04 m.l.;Prevost, famille (15e - 20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad6cdf62c10e75c0b
CH BGE Ms. fr. 1272-1278;Archives de la Société de crémation de Genève;1884 - 1933;1884/1933;6 cartons et 1 volume;Société de crémation de Genève;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6127c942a20e9c9b
CH BGE Ms. fr. 3401-3429, 3431-3460;Papiers Amé Jules Pictet;1850-1937;1850/1937;2.5 m;Pictet, Amé Jules (1857-1937);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta987ea42f5c1b2c6b
CH BGE Ms. suppl. 777-821;Papiers de la Bourse italienne;17e - 19e, avec copies de documents du 16e;1700/1890;0,84 ml;Bourse italienne;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta73cd9e52fd190fdf
CH BGE Ms. fr. 5301-5311, Ms. fr. 9028-9032 A;Archives Joseph-Marc Hornung;1838-1920;1838/1920;0.91 m;Hornung, famille (18e - 20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtace92ec74861478f7
CH BGE Ms. fr. 4164-4199, 5641-5660;Papiers des familles Odier et Soret;1765-1939;1765/1939;2.5 m.;Odier, famille (19e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2012c66bd76758a2
CH BGE Ms. fr. 6566-6594;Papiers Aldo Dami;1919-1980;1919/1980;2 m.;Dami, Aldo (1898-1977);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac1356657624cbebe
CH BGE Non catalogué (2005/040);Papiers Louis Appia;1837-1875;1837/1875;0.1 m.;Appia, Louis (1818-1898);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta893d0379f6b32292
CH BGE Ms. fr. 7731-7765 bis;Fonds Paul Lambert;20e s.;1900-1999;3 m;Lambert, Paul (1918-2004);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad88f306b9e90a8ed
CH BGE Non catalogué 1969/013;Papiers Pierre Arminjon;19e - 20e s.;1800/1999;0.8 m.;Arminjon, Pierre (1869-1960);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac4b019d7aa20a570
CH BGE Ms. fr. 8042-8043;Papiers Jacques Secretan;1913-1927;1913/1927;0.1 m;Secretan, Jacques (1897-1964);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaaf6a0e7b31194138
CH BGE Ms. fr. 1361-1363;Papiers Leo Ferrero;20e s.;1900/1999;0.2 m.;Ferrero, Leo (1903-1933);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta05217676c9cced23
"CH BGE Non catalogué (2004/027;2006/019; 2007/030)";Papiers Claude Richoz;20e - 21e s.;1900-2007;2.6 m.;Richoz, Claude (1929-2001);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2846568f64ebdbb1
CH BGE Ms. fr. 2251-2302;Papiers Jules Pictet de Sergy;19e - 20e siècles;1809/1920;1 m.;Pictet de Sergy, Jules (1795-1888);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadf33fc64e1bafebf
CH BGE Ms. fr. 7995-8023;Archives de la Société de géographie de Genève;1852-1992;1852/1992;2.8 m.;Société de géographie de Genève;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3392a02bc6be1850
CH BGE Ms. suppl. 1501-1534;Archives du Cercle des artistes;1851-1906;1851/1906;0,7 m;Cercle des artistes (Genève);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf5136c4f8163ce11
CH BGE Ms. Compagnie des pasteurs 1-1040;Manuscrits de la Compagnie des pasteurs;17e - 20e siècles;1600/1999;38 m.;Compagnie des pasteurs et des diacres (Genève);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5d25edba689f42ca
CH BGE Non catalogué;Papiers Albert Kohler;20e s.;1900/1999;2 m.;Kohler, Albert (né en 1873);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta68a81a1165536af0
